slug,alert_id,file,line,gt,pred,conf
asf__tapestry-5_CVE-2019-0207_5.4.4,java/redos,tapestry-webresources/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,149,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/xss,impl/src/main/java/org/apache/myfaces/renderkit/html/HtmlLabelRenderer.java,168,FP,ABSTAIN,0.8
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/SitemapServlet.java,111,FP,TP,0.6
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/http-response-splitting,servlet/src/main/java/io/undertow/servlet/websockets/ServletWebSocketHttpExchange.java,126,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/xss,shared/src/main/java/org/apache/myfaces/shared/renderkit/html/HtmlRendererUtils.java,1155,FP,TP,0.6
DSpace__DSpace_CVE-2022-31194_5.10,java/xxe,dspace-api/src/main/java/org/dspace/license/CCLookup.java,354,FP,TP,0.8
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/xss,servlet/src/test/java/io/undertow/servlet/test/util/PathTestServlet.java,22,FP,TP,0.8
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/weak-cryptographic-algorithm,core/src/main/java/io/undertow/security/idm/DigestAlgorithm.java,71,FP,TP,1.0
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/regex-injection,jspwiki-main/src/main/java/org/apache/wiki/plugin/IndexPlugin.java,143,FP,TP,1.0
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/core/NewsManager.java,102,FP,TP,0.8
apache__shiro_CVE-2023-34478_1.11.0,java/http-response-splitting,web/src/main/java/org/apache/shiro/web/util/RedirectView.java,304,FP,TP,0.6
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,java/unvalidated-url-redirection,src/main/java/org/owasp/esapi/filters/SecurityWrapperResponse.java,436,FP,TP,1.0
perwendel__spark_CVE-2018-9159_2.7.1,java/insecure-cookie,src/test/java/spark/ResponseTest.java,189,FP,TP,1.0
apache__tika_CVE-2018-11762_1.18,java/xxe,tika-parsers/src/test/java/org/apache/tika/XMLTestBase.java,141,FP,TP,0.8
apache__tika_CVE-2018-11762_1.18,java/xxe,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ooxml/xwpf/ml2006/Word2006MLParser.java,61,FP,TP,1.0
spring-cloud__spring-cloud-config_CVE-2020-5405_2.1.6.RELEASE,java/path-injection,spring-cloud-config-server/src/main/java/org/springframework/cloud/config/server/environment/SvnKitEnvironmentRepository.java,191,FP,TP,1.0
rhuss__jolokia_CVE-2018-1000129_1.4.0,java/insecure-trustmanager,agent/jvm/src/test/java/org/jolokia/jvmagent/JolokiaServerTest.java,486,FP,FP,0.8
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/insecure-cookie,jspwiki-main/src/main/java/org/apache/wiki/auth/login/CookieAssertionLoginModule.java,148,FP,TP,1.0
apache__tika_CVE-2018-11762_1.18,java/path-injection,tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java,399,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/ssrf,dspace-sword/src/main/java/org/purl/sword/client/Client.java,255,FP,TP,0.8
codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5,java/concatenated-command-line,src/test/java/org/codehaus/plexus/archiver/tar/TarFileAttributesTest.java,173,FP,ABSTAIN,0.8
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImport.java,1003,FP,TP,0.8
DSpace__DSpace_CVE-2022-31194_5.10,java/ssrf,dspace-sword/src/main/java/org/purl/sword/client/Client.java,255,FP,TP,0.8
apache__tika_CVE-2018-11762_1.18,java/implicit-cast-in-compound-assignment,tika-parsers/src/main/java/org/apache/tika/parser/chm/lzx/ChmLzxBlock.java,403,FP,ABSTAIN,0.4
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/MyDSpaceServlet.java,717,FP,TP,0.8
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,java/maven/non-https-url,core/target/test-classes/dwr-pom.xml,143,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/maven/non-https-url,dspace/modules/xmlui-mirage2/pom.xml,331,FP,TP,1.0
vert-x3__vertx-web_CVE-2019-17640_3.9.3,java/weak-cryptographic-algorithm,vertx-web/src/main/java/io/vertx/ext/web/handler/impl/DigestAuthHandlerImpl.java,58,FP,TP,1.0
rhuss__jolokia_CVE-2018-1000129_1.4.0,java/weak-cryptographic-algorithm,agent/core/src/main/java/org/jolokia/util/JolokiaCipher.java,141,FP,TP,0.8
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/SitemapServlet.java,111,FP,TP,0.6
rhuss__jolokia_CVE-2018-1000129_1.4.0,java/polynomial-redos,agent/core/src/main/java/org/jolokia/handler/ExecHandler.java,220,FP,TP,1.0
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-sword/src/main/java/org/dspace/sword/DepositManager.java,267,FP,TP,0.8
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/polynomial-redos,jspwiki-main/src/main/java/org/apache/wiki/parser/CreoleToJSPWikiTranslator.java,507,FP,ABSTAIN,1.0
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/xss,testsuite/shared/src/main/java/org/wildfly/test/security/servlets/ReadCredentialServlet.java,149,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/http-response-splitting,shared/src/main/java/org/apache/myfaces/shared/context/flash/FlashImpl.java,637,FP,TP,0.8
apache__tika_CVE-2018-11762_1.18,java/command-line-injection,tika-parsers/src/main/java/org/apache/tika/parser/gdal/GDALParser.java,362,FP,TP,1.0
perwendel__spark_CVE-2018-9159_2.7.1,java/insecure-cookie,src/test/java/spark/ResponseTest.java,237,FP,TP,0.8
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/insecure-cookie,jspwiki-main/src/main/java/org/apache/wiki/auth/login/CookieAssertionLoginModule.java,161,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/unvalidated-url-redirection,dspace-xmlui/src/main/java/org/dspace/app/xmlui/cocoon/DSpaceCocoonServletFilter.java,258,FP,TP,0.8
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/insecure-cookie,jspwiki-main/src/main/java/org/apache/wiki/tags/CookieTag.java,282,FP,TP,1.0
apache__jspwiki_CVE-2019-0225_2.11.0.M2,java/stack-trace-exposure,jspwiki-main/src/main/java/org/apache/wiki/tags/VariableTag.java,107,FP,TP,0.8
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/app/itemexport/ItemExport.java,1155,FP,TP,0.6
asf__commons-io_CVE-2021-29425_2.6,java/polynomial-redos,src/main/java/org/apache/commons/io/input/XmlStreamReader.java,742,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/xxe,dspace-api/src/main/java/org/dspace/license/CCLookup.java,196,FP,TP,1.0
codehaus-plexus__plexus-archiver_CVE-2018-1002200_3.5,java/concatenated-command-line,src/test/java/org/codehaus/plexus/archiver/tar/TarFileAttributesTest.java,99,FP,ABSTAIN,0.6
asf__tapestry-5_CVE-2019-0207_5.4.4,java/unsafe-deserialization,tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java,725,FP,TP,1.0
apache__tika_CVE-2018-11762_1.18,java/maven/non-https-url,tika-server/pom.xml,35,FP,TP,1.0
DSpace__DSpace_CVE-2022-31194_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/app/itemimport/ItemImport.java,2443,FP,TP,0.6
apache__tika_CVE-2018-11762_1.18,java/xxe,tika-core/src/test/java/org/apache/tika/parser/mock/MockParser.java,84,FP,TP,0.8
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/maven/non-https-url,pom.xml,378,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/http-response-splitting,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/ItemExportArchiveServlet.java,96,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/xss,impl/src/main/java/org/apache/myfaces/view/facelets/tag/ui/UIDebug.java,135,FP,TP,0.8
dromara__hutool_CVE-2018-17297_4.1.11,java/weak-cryptographic-algorithm,hutool-crypto/src/main/java/cn/hutool/crypto/digest/HMac.java,70,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-jspui/src/main/java/org/dspace/app/webui/servlet/SubmissionController.java,1712,FP,TP,0.8
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/ssrf,servlet/src/test/java/io/undertow/servlet/test/servletcontext/ReadFileServlet.java,22,FP,TP,1.0
apache__myfaces_CVE-2011-4367_2.0.11,java/weak-cryptographic-algorithm,shared/src/main/java/org/apache/myfaces/shared/util/StateUtils.java,752,FP,TP,1.0
undertow-io__undertow_CVE-2014-7816_1.0.16.Final,java/xss,servlet/src/test/java/io/undertow/servlet/test/charset/DefaultCharsetFormParserServlet.java,17,FP,TP,0.6
DSpace__DSpace_CVE-2022-31195_5.10,java/xxe,dspace-api/src/main/java/org/dspace/license/CCLookup.java,354,FP,TP,0.8
apache__tika_CVE-2018-11762_1.18,java/command-line-injection,tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRParser.java,528,FP,TP,1.0
wildfly__wildfly_CVE-2018-1047_11.0.0.Final,java/weak-cryptographic-algorithm,jdr/jboss-as-jdr/src/main/java/org/jboss/as/jdr/commands/JarCheck.java,60,FP,TP,0.6
apache__shiro_CVE-2023-34478_1.11.0,java/xxe,lang/src/main/java/org/apache/shiro/io/XmlSerializer.java,76,FP,TP,1.0
DSpace__DSpace_CVE-2022-31195_5.10,java/path-injection,dspace-api/src/main/java/org/dspace/core/ConfigurationManager.java,529,FP,TP,0.8
asf__tapestry-5_CVE-2019-0207_5.4.4,java/regex-injection,tapestry-core/src/main/java/org/apache/tapestry5/modules/TapestryModule.java,1007,FP,TP,0.6
ESAPI__esapi-java-legacy_CVE-2022-23457_2.2.3.1,java/polynomial-redos,src/main/java/org/owasp/esapi/codecs/ref/EncodingPatternPreservation.java,58,FP,TP,1.0
perwendel__spark_CVE-2018-9159_2.7.1,java/path-injection,src/main/java/spark/resource/ExternalResource.java,40,FP,ABSTAIN,0.6
jeremylong__DependencyCheck_CVE-2018-12036_3.1.2,java/maven/non-https-url,core/src/test/resources/dwr-pom.xml,143,FP,TP,1.0
